Peak Energy Use (HVAC) [kWh],Peak Energy Use (HVAC and Personal Equipment) [kWh],Daily Energy Use (HVAC) [kWh],Daily Energy Use (HVAC and Personal Equipment) [kWh],Daily FF (HVAC),Daily FF (HVAC and Personal Equipment),Daily Cost (HVAC) [$],Daily Cost (HVAC and Personal Equipment) [$],Peak Occ#1 Cool Duration [mins],Peak Occ#1 Warm Duration [mins],Peak Occ#2 Cool Duration [mins],Peak Occ#2 Warm Duration [mins],Peak Occ#3 Cool Duration [mins],Peak Occ#3 Warm Duration [mins],Peak Occ#4 Cool Duration [mins],Peak Occ#4 Warm Duration [mins],Peak Occ#5 Cool Duration [mins],Peak Occ#5 Warm Duration [mins],Peak Occ#6 Cool Duration [mins],Peak Occ#6 Warm Duration [mins],Peak Occ#7 Cool Duration [mins],Peak Occ#7 Warm Duration [mins],Peak Occ#8 Cool Duration [mins],Peak Occ#8 Warm Duration [mins],Peak Occ#9 Cool Duration [mins],Peak Occ#9 Warm Duration [mins],Peak Occ#10 Cool Duration [mins],Peak Occ#10 Warm Duration [mins],Peak Occ#11 Cool Duration [mins],Peak Occ#11 Warm Duration [mins]
4.557813333,4.764563333,12.51983833,13.01708833,0.271905401,0.267952523,1.365652069,1.422325034,0,91,3,36,0,2,7,55,6,10,0,0,14,0,0,18,7,7,0,0,11,0
4.50267,4.70842,12.71543333,13.20318333,0.291778757,0.286775033,1.375036776,1.43090602,0,64,0,27,0,6,4,40,4,9,0,0,11,0,0,21,3,6,0,0,12,0
4.534465,4.763215,12.62618,13.10343,0.281736044,0.27298196,1.37138167,1.428642563,0,92,2,34,0,2,8,38,6,12,0,0,8,0,0,22,9,7,0,0,17,0
4.45726,4.64401,12.68690333,13.16865333,0.29734469,0.294687181,1.368612066,1.422236339,0,50,0,34,0,1,9,37,4,13,0,0,10,0,0,14,7,5,0,0,14,0
4.582628333,4.842878333,12.64370333,13.21170333,0.275112961,0.266880551,1.377245197,1.444259611,0,57,3,33,0,5,1,39,4,12,0,0,10,0,0,20,11,13,0,0,11,0
4.454933333,4.686433333,12.62920667,13.14470667,0.294503059,0.286947446,1.364085175,1.424461384,0,81,5,25,0,1,8,31,6,8,0,0,17,0,0,23,9,8,1,0,20,0
4.454933333,4.686433333,12.62920667,13.14470667,0.294503059,0.286947446,1.364085175,1.424461384,0,81,5,25,0,1,8,31,6,8,0,0,17,0,0,23,9,8,1,0,20,0
4.426628333,4.632378333,12.65473167,13.17923167,0.300399495,0.297018453,1.363313314,1.421925799,0,92,1,42,0,5,8,37,7,13,1,0,18,0,0,21,3,7,0,0,4,0
4.721941667,4.957691667,12.73886333,13.35361333,0.25865573,0.25747563,1.397525323,1.465712129,0,61,2,27,0,5,8,34,6,14,0,0,9,0,0,22,2,3,0,0,7,0
4.557813333,4.764563333,12.51983833,13.01708833,0.271905401,0.267952523,1.365652069,1.422325034,0,91,3,36,0,2,7,55,6,10,0,0,14,0,0,18,7,7,0,0,11,0
4.50267,4.70842,12.71543333,13.20318333,0.291778757,0.286775033,1.375036776,1.43090602,0,64,0,27,0,6,4,40,4,9,0,0,11,0,0,21,3,6,0,0,12,0
4.534465,4.763215,12.62618,13.10343,0.281736044,0.27298196,1.37138167,1.428642563,0,92,2,34,0,2,8,38,6,12,0,0,8,0,0,22,9,7,0,0,17,0
4.45726,4.64401,12.68690333,13.16865333,0.29734469,0.294687181,1.368612066,1.422236339,0,50,0,34,0,1,9,37,4,13,0,0,10,0,0,14,7,5,0,0,14,0
4.582628333,4.842878333,12.64370333,13.21170333,0.275112961,0.266880551,1.377245197,1.444259611,0,57,3,33,0,5,1,39,4,12,0,0,10,0,0,20,11,13,0,0,11,0
4.457288333,4.665788333,12.57484,13.05534,0.291078323,0.285229135,1.360249666,1.415837833,0,88,1,29,0,5,7,51,4,9,0,0,19,0,0,22,8,5,0,0,17,0
4.686233333,4.889483333,12.62512667,13.15737667,0.257633851,0.25676927,1.385657899,1.44461243,0,85,3,27,0,1,9,33,7,17,0,0,10,0,0,16,12,12,0,0,17,0
4.40169,4.63019,12.672565,13.270315,0.305319799,0.302173309,1.362285734,1.428517824,0,64,0,25,0,3,9,42,1,10,0,0,3,0,0,23,9,10,0,0,21,0
4.581195,4.756945,12.68115333,13.18815333,0.277479756,0.278603322,1.37990512,1.43437378,0,62,2,42,0,4,6,53,4,8,1,0,11,0,0,18,7,10,0,0,10,0
4.592331667,4.856581667,12.70971,13.26821,0.277350677,0.267937172,1.383090111,1.449773724,0,83,5,26,0,6,8,46,6,8,1,0,13,0,0,15,3,9,0,0,15,0
4.653426667,4.882676667,12.674285,13.193785,0.26569007,0.259852019,1.386224386,1.446686365,0,87,2,37,0,2,9,40,3,14,0,0,10,0,0,24,5,6,0,0,14,0
4.469241667,4.706491667,12.56961333,13.04661333,0.288881599,0.278511358,1.360990111,1.419036307,0,84,1,21,0,2,11,53,4,18,0,0,12,0,0,25,8,13,0,0,4,0
4.490155,4.710655,12.62229167,13.13854167,0.288535692,0.282925743,1.366900404,1.426292174,0,62,2,28,0,5,6,35,6,10,1,0,5,0,0,18,8,9,0,0,15,0
4.488905,4.728155,12.66518,13.22668,0.291142329,0.285057928,1.369983617,1.434526568,0,73,1,28,0,3,10,57,3,5,0,0,6,0,0,22,9,7,0,0,9,0
4.488443333,4.656193333,12.60603333,13.05328333,0.287889661,0.286586644,1.365524888,1.414776778,0,62,1,53,0,1,9,32,2,6,1,0,6,0,0,19,5,10,0,0,17,0
4.455935,4.649185,12.58479,13.06654,0.291853897,0.288383153,1.36086439,1.415103459,0,73,2,44,0,6,7,49,4,10,0,0,11,0,0,24,4,5,0,0,10,0
4.476831667,4.670831667,12.639105,13.152605,0.291590399,0.289748051,1.366895278,1.423575295,0,74,5,21,0,6,6,39,3,6,0,0,7,0,0,25,8,12,0,0,16,0
4.454933333,4.686433333,12.62920667,13.14470667,0.294503059,0.286947446,1.364085175,1.424461384,0,81,5,25,0,1,8,31,6,8,0,0,17,0,0,23,9,8,1,0,20,0
4.426628333,4.632378333,12.65473167,13.17923167,0.300399495,0.297018453,1.363313314,1.421925799,0,92,1,42,0,5,8,37,7,13,1,0,18,0,0,21,3,7,0,0,4,0
4.721941667,4.957691667,12.73886333,13.35361333,0.25865573,0.25747563,1.397525323,1.465712129,0,61,2,27,0,5,8,34,6,14,0,0,9,0,0,22,2,3,0,0,7,0
4.557813333,4.764563333,12.51983833,13.01708833,0.271905401,0.267952523,1.365652069,1.422325034,0,91,3,36,0,2,7,55,6,10,0,0,14,0,0,18,7,7,0,0,11,0
4.50267,4.70842,12.71543333,13.20318333,0.291778757,0.286775033,1.375036776,1.43090602,0,64,0,27,0,6,4,40,4,9,0,0,11,0,0,21,3,6,0,0,12,0
4.534465,4.763215,12.62618,13.10343,0.281736044,0.27298196,1.37138167,1.428642563,0,92,2,34,0,2,8,38,6,12,0,0,8,0,0,22,9,7,0,0,17,0
4.45726,4.64401,12.68690333,13.16865333,0.29734469,0.294687181,1.368612066,1.422236339,0,50,0,34,0,1,9,37,4,13,0,0,10,0,0,14,7,5,0,0,14,0
4.582628333,4.842878333,12.64370333,13.21170333,0.275112961,0.266880551,1.377245197,1.444259611,0,57,3,33,0,5,1,39,4,12,0,0,10,0,0,20,11,13,0,0,11,0
4.457288333,4.665788333,12.57484,13.05534,0.291078323,0.285229135,1.360249666,1.415837833,0,88,1,29,0,5,7,51,4,9,0,0,19,0,0,22,8,5,0,0,17,0
4.686233333,4.889483333,12.62512667,13.15737667,0.257633851,0.25676927,1.385657899,1.44461243,0,85,3,27,0,1,9,33,7,17,0,0,10,0,0,16,12,12,0,0,17,0
4.40169,4.63019,12.672565,13.270315,0.305319799,0.302173309,1.362285734,1.428517824,0,64,0,25,0,3,9,42,1,10,0,0,3,0,0,23,9,10,0,0,21,0
4.581195,4.756945,12.68115333,13.18815333,0.277479756,0.278603322,1.37990512,1.43437378,0,62,2,42,0,4,6,53,4,8,1,0,11,0,0,18,7,10,0,0,10,0
4.592331667,4.856581667,12.70971,13.26821,0.277350677,0.267937172,1.383090111,1.449773724,0,83,5,26,0,6,8,46,6,8,1,0,13,0,0,15,3,9,0,0,15,0
4.653426667,4.882676667,12.674285,13.193785,0.26569007,0.259852019,1.386224386,1.446686365,0,87,2,37,0,2,9,40,3,14,0,0,10,0,0,24,5,6,0,0,14,0
4.469241667,4.706491667,12.56961333,13.04661333,0.288881599,0.278511358,1.360990111,1.419036307,0,84,1,21,0,2,11,53,4,18,0,0,12,0,0,25,8,13,0,0,4,0
4.454933333,4.686433333,12.62920667,13.14470667,0.294503059,0.286947446,1.364085175,1.424461384,0,81,5,25,0,1,8,31,6,8,0,0,17,0,0,23,9,8,1,0,20,0
4.426628333,4.632378333,12.65473167,13.17923167,0.300399495,0.297018453,1.363313314,1.421925799,0,92,1,42,0,5,8,37,7,13,1,0,18,0,0,21,3,7,0,0,4,0
4.721941667,4.957691667,12.73886333,13.35361333,0.25865573,0.25747563,1.397525323,1.465712129,0,61,2,27,0,5,8,34,6,14,0,0,9,0,0,22,2,3,0,0,7,0
4.557813333,4.764563333,12.51983833,13.01708833,0.271905401,0.267952523,1.365652069,1.422325034,0,91,3,36,0,2,7,55,6,10,0,0,14,0,0,18,7,7,0,0,11,0
4.50267,4.70842,12.71543333,13.20318333,0.291778757,0.286775033,1.375036776,1.43090602,0,64,0,27,0,6,4,40,4,9,0,0,11,0,0,21,3,6,0,0,12,0
4.534465,4.763215,12.62618,13.10343,0.281736044,0.27298196,1.37138167,1.428642563,0,92,2,34,0,2,8,38,6,12,0,0,8,0,0,22,9,7,0,0,17,0
4.45726,4.64401,12.68690333,13.16865333,0.29734469,0.294687181,1.368612066,1.422236339,0,50,0,34,0,1,9,37,4,13,0,0,10,0,0,14,7,5,0,0,14,0
4.582628333,4.842878333,12.64370333,13.21170333,0.275112961,0.266880551,1.377245197,1.444259611,0,57,3,33,0,5,1,39,4,12,0,0,10,0,0,20,11,13,0,0,11,0
4.457288333,4.665788333,12.57484,13.05534,0.291078323,0.285229135,1.360249666,1.415837833,0,88,1,29,0,5,7,51,4,9,0,0,19,0,0,22,8,5,0,0,17,0
4.686233333,4.889483333,12.62512667,13.15737667,0.257633851,0.25676927,1.385657899,1.44461243,0,85,3,27,0,1,9,33,7,17,0,0,10,0,0,16,12,12,0,0,17,0
4.40169,4.63019,12.672565,13.270315,0.305319799,0.302173309,1.362285734,1.428517824,0,64,0,25,0,3,9,42,1,10,0,0,3,0,0,23,9,10,0,0,21,0
4.581195,4.756945,12.68115333,13.18815333,0.277479756,0.278603322,1.37990512,1.43437378,0,62,2,42,0,4,6,53,4,8,1,0,11,0,0,18,7,10,0,0,10,0
4.592331667,4.856581667,12.70971,13.26821,0.277350677,0.267937172,1.383090111,1.449773724,0,83,5,26,0,6,8,46,6,8,1,0,13,0,0,15,3,9,0,0,15,0
