Peak Energy Use (HVAC) [kWh],Peak Energy Use (HVAC and Personal Equipment) [kWh],Daily Energy Use (HVAC) [kWh],Daily Energy Use (HVAC and Personal Equipment) [kWh],Daily FF (HVAC),Daily FF (HVAC and Personal Equipment),Daily Cost (HVAC) [$],Daily Cost (HVAC and Personal Equipment) [$],Peak Occ#1 Cool Duration [mins],Peak Occ#1 Warm Duration [mins],Peak Occ#2 Cool Duration [mins],Peak Occ#2 Warm Duration [mins],Peak Occ#3 Cool Duration [mins],Peak Occ#3 Warm Duration [mins],Peak Occ#4 Cool Duration [mins],Peak Occ#4 Warm Duration [mins],Peak Occ#5 Cool Duration [mins],Peak Occ#5 Warm Duration [mins],Peak Occ#6 Cool Duration [mins],Peak Occ#6 Warm Duration [mins],Peak Occ#7 Cool Duration [mins],Peak Occ#7 Warm Duration [mins],Peak Occ#8 Cool Duration [mins],Peak Occ#8 Warm Duration [mins],Peak Occ#9 Cool Duration [mins],Peak Occ#9 Warm Duration [mins],Peak Occ#10 Cool Duration [mins],Peak Occ#10 Warm Duration [mins],Peak Occ#11 Cool Duration [mins],Peak Occ#11 Warm Duration [mins]
4.45625,4.61775,12.62986,13.01511,0.294331053550871,0.290401694645685,1.36425847956,1.40829116706,0,60,1,34,0,2,10,49,3,10,0,0,12,0,0,16,5,11,0,0,19,0
4.45625,4.60275,12.62986,13.0661099999999,0.294331053550871,0.295467434454478,1.36425847956,1.41067935306,0,66,2,60,0,8,5,54,5,11,0,0,10,0,0,21,5,7,0,0,10,0
4.45625,4.686,12.62986,13.18061,0.294331053550871,0.28895551875065,1.36425847956,1.42710043806,0,76,1,22,0,4,8,58,3,9,0,0,17,0,0,16,8,6,1,0,14,0
4.45625,4.68,12.62986,13.10461,0.294331053550871,0.285747534646205,1.36425847956,1.42085983806,0,71,0,23,0,3,5,33,2,6,0,0,16,0,0,33,6,12,0,0,17,0
4.45625,4.733,12.62986,13.2471099999999,0.294331053550871,0.285429048298082,1.36425847956,1.43650984506,0,92,1,28,0,2,5,39,1,9,0,0,10,0,0,11,5,6,0,0,15,0
4.45625,4.66475,12.62986,13.15411,0.294331053550871,0.290753992478397,1.36425847956,1.42311240906,0,63,2,35,0,3,11,52,7,9,1,0,14,0,0,28,5,5,0,0,8,0
4.45625,4.69575,12.62986,13.2186099999999,0.294331053550871,0.289524390234677,1.36425847956,1.43085918006,0,76,2,43,0,2,8,42,7,12,0,0,14,0,0,15,3,4,0,0,15,0
4.45625,4.67025,12.62986,13.20736,0.294331053550871,0.292780691977806,1.36425847956,1.42760752056,0,53,1,16,0,1,9,49,4,9,0,0,19,0,0,21,3,9,0,0,12,0
4.45625,4.6595,12.62986,13.12136,0.294331053550871,0.289783985806349,1.36425847956,1.42017118656,0,74,3,35,0,3,4,40,6,19,0,0,6,0,0,19,6,12,0,0,7,0
4.45625,4.673,12.62986,13.20436,0.294331053550871,0.29220348430367,1.36425847956,1.42764368856,0,59,1,14,0,3,3,29,2,12,0,0,15,0,0,11,5,9,0,0,21,0
4.45625,4.61775,12.62986,13.01511,0.294331053550871,0.290401694645685,1.36425847956,1.40829116706,0,60,1,34,0,2,10,49,3,10,0,0,12,0,0,16,5,11,0,0,19,0
4.45625,4.60275,12.62986,13.0661099999999,0.294331053550871,0.295467434454478,1.36425847956,1.41067935306,0,66,2,60,0,8,5,54,5,11,0,0,10,0,0,21,5,7,0,0,10,0
4.45625,4.686,12.62986,13.18061,0.294331053550871,0.28895551875065,1.36425847956,1.42710043806,0,76,1,22,0,4,8,58,3,9,0,0,17,0,0,16,8,6,1,0,14,0
4.45625,4.68,12.62986,13.10461,0.294331053550871,0.285747534646205,1.36425847956,1.42085983806,0,71,0,23,0,3,5,33,2,6,0,0,16,0,0,33,6,12,0,0,17,0
4.45625,4.733,12.62986,13.2471099999999,0.294331053550871,0.285429048298082,1.36425847956,1.43650984506,0,92,1,28,0,2,5,39,1,9,0,0,10,0,0,11,5,6,0,0,15,0
4.45625,4.66475,12.62986,13.15411,0.294331053550871,0.290753992478397,1.36425847956,1.42311240906,0,63,2,35,0,3,11,52,7,9,1,0,14,0,0,28,5,5,0,0,8,0
4.45625,4.69575,12.62986,13.2186099999999,0.294331053550871,0.289524390234677,1.36425847956,1.43085918006,0,76,2,43,0,2,8,42,7,12,0,0,14,0,0,15,3,4,0,0,15,0
4.45625,4.67025,12.62986,13.20736,0.294331053550871,0.292780691977806,1.36425847956,1.42760752056,0,53,1,16,0,1,9,49,4,9,0,0,19,0,0,21,3,9,0,0,12,0
4.45625,4.6595,12.62986,13.12136,0.294331053550871,0.289783985806349,1.36425847956,1.42017118656,0,74,3,35,0,3,4,40,6,19,0,0,6,0,0,19,6,12,0,0,7,0
4.45625,4.673,12.62986,13.20436,0.294331053550871,0.29220348430367,1.36425847956,1.42764368856,0,59,1,14,0,3,3,29,2,12,0,0,15,0,0,11,5,9,0,0,21,0
4.45625,4.61775,12.62986,13.01511,0.294331053550871,0.290401694645685,1.36425847956,1.40829116706,0,60,1,34,0,2,10,49,3,10,0,0,12,0,0,16,5,11,0,0,19,0
4.45625,4.60275,12.62986,13.0661099999999,0.294331053550871,0.295467434454478,1.36425847956,1.41067935306,0,66,2,60,0,8,5,54,5,11,0,0,10,0,0,21,5,7,0,0,10,0
4.45625,4.686,12.62986,13.18061,0.294331053550871,0.28895551875065,1.36425847956,1.42710043806,0,76,1,22,0,4,8,58,3,9,0,0,17,0,0,16,8,6,1,0,14,0
4.45625,4.68,12.62986,13.10461,0.294331053550871,0.285747534646205,1.36425847956,1.42085983806,0,71,0,23,0,3,5,33,2,6,0,0,16,0,0,33,6,12,0,0,17,0
4.45625,4.733,12.62986,13.2471099999999,0.294331053550871,0.285429048298082,1.36425847956,1.43650984506,0,92,1,28,0,2,5,39,1,9,0,0,10,0,0,11,5,6,0,0,15,0
4.45625,4.66475,12.62986,13.15411,0.294331053550871,0.290753992478397,1.36425847956,1.42311240906,0,63,2,35,0,3,11,52,7,9,1,0,14,0,0,28,5,5,0,0,8,0
4.45625,4.69575,12.62986,13.2186099999999,0.294331053550871,0.289524390234677,1.36425847956,1.43085918006,0,76,2,43,0,2,8,42,7,12,0,0,14,0,0,15,3,4,0,0,15,0
4.45625,4.67025,12.62986,13.20736,0.294331053550871,0.292780691977806,1.36425847956,1.42760752056,0,53,1,16,0,1,9,49,4,9,0,0,19,0,0,21,3,9,0,0,12,0
4.45625,4.6595,12.62986,13.12136,0.294331053550871,0.289783985806349,1.36425847956,1.42017118656,0,74,3,35,0,3,4,40,6,19,0,0,6,0,0,19,6,12,0,0,7,0
4.45625,4.673,12.62986,13.20436,0.294331053550871,0.29220348430367,1.36425847956,1.42764368856,0,59,1,14,0,3,3,29,2,12,0,0,15,0,0,11,5,9,0,0,21,0
4.45625,4.61775,12.62986,13.01511,0.294331053550871,0.290401694645685,1.36425847956,1.40829116706,0,60,1,34,0,2,10,49,3,10,0,0,12,0,0,16,5,11,0,0,19,0
4.45625,4.60275,12.62986,13.0661099999999,0.294331053550871,0.295467434454478,1.36425847956,1.41067935306,0,66,2,60,0,8,5,54,5,11,0,0,10,0,0,21,5,7,0,0,10,0
4.45625,4.686,12.62986,13.18061,0.294331053550871,0.28895551875065,1.36425847956,1.42710043806,0,76,1,22,0,4,8,58,3,9,0,0,17,0,0,16,8,6,1,0,14,0
4.45625,4.68,12.62986,13.10461,0.294331053550871,0.285747534646205,1.36425847956,1.42085983806,0,71,0,23,0,3,5,33,2,6,0,0,16,0,0,33,6,12,0,0,17,0
4.45625,4.733,12.62986,13.2471099999999,0.294331053550871,0.285429048298082,1.36425847956,1.43650984506,0,92,1,28,0,2,5,39,1,9,0,0,10,0,0,11,5,6,0,0,15,0
4.45625,4.66475,12.62986,13.15411,0.294331053550871,0.290753992478397,1.36425847956,1.42311240906,0,63,2,35,0,3,11,52,7,9,1,0,14,0,0,28,5,5,0,0,8,0
4.45625,4.69575,12.62986,13.2186099999999,0.294331053550871,0.289524390234677,1.36425847956,1.43085918006,0,76,2,43,0,2,8,42,7,12,0,0,14,0,0,15,3,4,0,0,15,0
4.45625,4.67025,12.62986,13.20736,0.294331053550871,0.292780691977806,1.36425847956,1.42760752056,0,53,1,16,0,1,9,49,4,9,0,0,19,0,0,21,3,9,0,0,12,0
4.45625,4.6595,12.62986,13.12136,0.294331053550871,0.289783985806349,1.36425847956,1.42017118656,0,74,3,35,0,3,4,40,6,19,0,0,6,0,0,19,6,12,0,0,7,0
4.45625,4.673,12.62986,13.20436,0.294331053550871,0.29220348430367,1.36425847956,1.42764368856,0,59,1,14,0,3,3,29,2,12,0,0,15,0,0,11,5,9,0,0,21,0
