Peak Energy Use (HVAC) [kWh],Peak Energy Use (HVAC and Personal Equipment) [kWh],Daily Energy Use (HVAC) [kWh],Daily Energy Use (HVAC and Personal Equipment) [kWh],Daily FF (HVAC),Daily FF (HVAC and Personal Equipment),Daily Cost (HVAC) [$],Daily Cost (HVAC and Personal Equipment) [$],Peak Occ#1 Cool Duration [mins],Peak Occ#1 Warm Duration [mins],Peak Occ#2 Cool Duration [mins],Peak Occ#2 Warm Duration [mins],Peak Occ#3 Cool Duration [mins],Peak Occ#3 Warm Duration [mins],Peak Occ#4 Cool Duration [mins],Peak Occ#4 Warm Duration [mins],Peak Occ#5 Cool Duration [mins],Peak Occ#5 Warm Duration [mins],Peak Occ#6 Cool Duration [mins],Peak Occ#6 Warm Duration [mins],Peak Occ#7 Cool Duration [mins],Peak Occ#7 Warm Duration [mins],Peak Occ#8 Cool Duration [mins],Peak Occ#8 Warm Duration [mins],Peak Occ#9 Cool Duration [mins],Peak Occ#9 Warm Duration [mins],Peak Occ#10 Cool Duration [mins],Peak Occ#10 Warm Duration [mins],Peak Occ#11 Cool Duration [mins],Peak Occ#11 Warm Duration [mins]
6.342143333,6.540893333,14.090455,14.621205,0.099795807,0.105286694,1.651661389,1.710078323,0,49,4,22,0,0,10,48,7,8,1,0,14,0,0,18,4,6,0,0,10,0
6.505851667,6.728601667,14.02096167,14.57846167,0.071982105,0.076911979,1.661958179,1.72464191,0,57,2,24,0,1,10,35,13,11,0,0,15,0,0,7,8,6,0,0,11,0
6.479565,6.686565,14.03086667,14.57261667,0.07638421,0.082311001,1.660211249,1.720229608,0,37,2,9,0,0,13,36,6,8,0,0,25,0,0,11,7,6,0,0,14,0
6.411721667,6.612471667,14.01918833,14.51643833,0.085293454,0.08896776,1.652922614,1.709028076,0,56,1,23,0,0,6,33,5,10,0,0,9,0,0,11,9,8,0,0,10,0
6.334938333,6.541688333,14.02606167,14.55756167,0.096690363,0.101265929,1.646173206,1.705402797,0,49,0,7,0,1,9,24,3,7,0,0,15,0,0,8,4,5,1,0,24,0
6.460588333,6.653088333,14.01658333,14.42108333,0.078150762,0.077310882,1.657350166,1.705751893,0,48,2,25,0,0,13,33,4,5,0,0,11,0,0,8,4,10,0,0,25,0
6.475313333,6.655313333,14.102195,14.607445,0.081658801,0.088777903,1.665133484,1.719873496,0,51,3,37,0,2,9,34,9,9,0,0,14,0,0,15,7,7,0,0,12,0
6.36605,6.5828,14.11291667,14.62941667,0.097840631,0.100059811,1.655599251,1.714654992,0,58,1,15,0,1,9,45,3,7,0,0,17,0,0,9,6,6,0,0,16,0
6.372168333,6.579168333,13.96043,14.41993,0.08711002,0.08748956,1.644795427,1.698674152,0,59,2,17,0,3,6,23,3,6,0,0,20,0,0,27,10,12,0,0,22,0
6.348891667,6.582141667,14.03646667,14.59921667,0.095371817,0.098288378,1.64826966,1.712338415,0,71,2,19,0,2,6,35,3,6,0,0,12,0,0,10,5,5,0,0,21,0
6.342143333,6.540893333,14.090455,14.621205,0.099795807,0.105286694,1.651661389,1.710078323,0,49,4,22,0,0,10,48,7,8,1,0,14,0,0,18,4,6,0,0,10,0
6.505851667,6.728601667,14.02096167,14.57846167,0.071982105,0.076911979,1.661958179,1.72464191,0,57,2,24,0,1,10,35,13,11,0,0,15,0,0,7,8,6,0,0,11,0
6.479565,6.686565,14.03086667,14.57261667,0.07638421,0.082311001,1.660211249,1.720229608,0,37,2,9,0,0,13,36,6,8,0,0,25,0,0,11,7,6,0,0,14,0
6.411721667,6.612471667,14.01918833,14.51643833,0.085293454,0.08896776,1.652922614,1.709028076,0,56,1,23,0,0,6,33,5,10,0,0,9,0,0,11,9,8,0,0,10,0
6.334938333,6.541688333,14.02606167,14.55756167,0.096690363,0.101265929,1.646173206,1.705402797,0,49,0,7,0,1,9,24,3,7,0,0,15,0,0,8,4,5,1,0,24,0
6.460588333,6.653088333,14.01658333,14.42108333,0.078150762,0.077310882,1.657350166,1.705751893,0,48,2,25,0,0,13,33,4,5,0,0,11,0,0,8,4,10,0,0,25,0
6.475313333,6.655313333,14.102195,14.607445,0.081658801,0.088777903,1.665133484,1.719873496,0,51,3,37,0,2,9,34,9,9,0,0,14,0,0,15,7,7,0,0,12,0
6.36605,6.5828,14.11291667,14.62941667,0.097840631,0.100059811,1.655599251,1.714654992,0,58,1,15,0,1,9,45,3,7,0,0,17,0,0,9,6,6,0,0,16,0
6.372168333,6.579168333,13.96043,14.41993,0.08711002,0.08748956,1.644795427,1.698674152,0,59,2,17,0,3,6,23,3,6,0,0,20,0,0,27,10,12,0,0,22,0
6.348891667,6.582141667,14.03646667,14.59921667,0.095371817,0.098288378,1.64826966,1.712338415,0,71,2,19,0,2,6,35,3,6,0,0,12,0,0,10,5,5,0,0,21,0
6.342143333,6.540893333,14.090455,14.621205,0.099795807,0.105286694,1.651661389,1.710078323,0,49,4,22,0,0,10,48,7,8,1,0,14,0,0,18,4,6,0,0,10,0
6.505851667,6.728601667,14.02096167,14.57846167,0.071982105,0.076911979,1.661958179,1.72464191,0,57,2,24,0,1,10,35,13,11,0,0,15,0,0,7,8,6,0,0,11,0
6.479565,6.686565,14.03086667,14.57261667,0.07638421,0.082311001,1.660211249,1.720229608,0,37,2,9,0,0,13,36,6,8,0,0,25,0,0,11,7,6,0,0,14,0
6.411721667,6.612471667,14.01918833,14.51643833,0.085293454,0.08896776,1.652922614,1.709028076,0,56,1,23,0,0,6,33,5,10,0,0,9,0,0,11,9,8,0,0,10,0
6.334938333,6.541688333,14.02606167,14.55756167,0.096690363,0.101265929,1.646173206,1.705402797,0,49,0,7,0,1,9,24,3,7,0,0,15,0,0,8,4,5,1,0,24,0
6.460588333,6.653088333,14.01658333,14.42108333,0.078150762,0.077310882,1.657350166,1.705751893,0,48,2,25,0,0,13,33,4,5,0,0,11,0,0,8,4,10,0,0,25,0
6.475313333,6.655313333,14.102195,14.607445,0.081658801,0.088777903,1.665133484,1.719873496,0,51,3,37,0,2,9,34,9,9,0,0,14,0,0,15,7,7,0,0,12,0
6.36605,6.5828,14.11291667,14.62941667,0.097840631,0.100059811,1.655599251,1.714654992,0,58,1,15,0,1,9,45,3,7,0,0,17,0,0,9,6,6,0,0,16,0
6.372168333,6.579168333,13.96043,14.41993,0.08711002,0.08748956,1.644795427,1.698674152,0,59,2,17,0,3,6,23,3,6,0,0,20,0,0,27,10,12,0,0,22,0
6.348891667,6.582141667,14.03646667,14.59921667,0.095371817,0.098288378,1.64826966,1.712338415,0,71,2,19,0,2,6,35,3,6,0,0,12,0,0,10,5,5,0,0,21,0
6.342143333,6.540893333,14.090455,14.621205,0.099795807,0.105286694,1.651661389,1.710078323,0,49,4,22,0,0,10,48,7,8,1,0,14,0,0,18,4,6,0,0,10,0
6.505851667,6.728601667,14.02096167,14.57846167,0.071982105,0.076911979,1.661958179,1.72464191,0,57,2,24,0,1,10,35,13,11,0,0,15,0,0,7,8,6,0,0,11,0
6.479565,6.686565,14.03086667,14.57261667,0.07638421,0.082311001,1.660211249,1.720229608,0,37,2,9,0,0,13,36,6,8,0,0,25,0,0,11,7,6,0,0,14,0
6.411721667,6.612471667,14.01918833,14.51643833,0.085293454,0.08896776,1.652922614,1.709028076,0,56,1,23,0,0,6,33,5,10,0,0,9,0,0,11,9,8,0,0,10,0
6.334938333,6.541688333,14.02606167,14.55756167,0.096690363,0.101265929,1.646173206,1.705402797,0,49,0,7,0,1,9,24,3,7,0,0,15,0,0,8,4,5,1,0,24,0
6.460588333,6.653088333,14.01658333,14.42108333,0.078150762,0.077310882,1.657350166,1.705751893,0,48,2,25,0,0,13,33,4,5,0,0,11,0,0,8,4,10,0,0,25,0
6.475313333,6.655313333,14.102195,14.607445,0.081658801,0.088777903,1.665133484,1.719873496,0,51,3,37,0,2,9,34,9,9,0,0,14,0,0,15,7,7,0,0,12,0
6.36605,6.5828,14.11291667,14.62941667,0.097840631,0.100059811,1.655599251,1.714654992,0,58,1,15,0,1,9,45,3,7,0,0,17,0,0,9,6,6,0,0,16,0
6.372168333,6.579168333,13.96043,14.41993,0.08711002,0.08748956,1.644795427,1.698674152,0,59,2,17,0,3,6,23,3,6,0,0,20,0,0,27,10,12,0,0,22,0
6.348891667,6.582141667,14.03646667,14.59921667,0.095371817,0.098288378,1.64826966,1.712338415,0,71,2,19,0,2,6,35,3,6,0,0,12,0,0,10,5,5,0,0,21,0
6.342143333,6.540893333,14.090455,14.621205,0.099795807,0.105286694,1.651661389,1.710078323,0,49,4,22,0,0,10,48,7,8,1,0,14,0,0,18,4,6,0,0,10,0
6.505851667,6.728601667,14.02096167,14.57846167,0.071982105,0.076911979,1.661958179,1.72464191,0,57,2,24,0,1,10,35,13,11,0,0,15,0,0,7,8,6,0,0,11,0
6.479565,6.686565,14.03086667,14.57261667,0.07638421,0.082311001,1.660211249,1.720229608,0,37,2,9,0,0,13,36,6,8,0,0,25,0,0,11,7,6,0,0,14,0
6.411721667,6.612471667,14.01918833,14.51643833,0.085293454,0.08896776,1.652922614,1.709028076,0,56,1,23,0,0,6,33,5,10,0,0,9,0,0,11,9,8,0,0,10,0
6.334938333,6.541688333,14.02606167,14.55756167,0.096690363,0.101265929,1.646173206,1.705402797,0,49,0,7,0,1,9,24,3,7,0,0,15,0,0,8,4,5,1,0,24,0
6.460588333,6.653088333,14.01658333,14.42108333,0.078150762,0.077310882,1.657350166,1.705751893,0,48,2,25,0,0,13,33,4,5,0,0,11,0,0,8,4,10,0,0,25,0
6.475313333,6.655313333,14.102195,14.607445,0.081658801,0.088777903,1.665133484,1.719873496,0,51,3,37,0,2,9,34,9,9,0,0,14,0,0,15,7,7,0,0,12,0
6.36605,6.5828,14.11291667,14.62941667,0.097840631,0.100059811,1.655599251,1.714654992,0,58,1,15,0,1,9,45,3,7,0,0,17,0,0,9,6,6,0,0,16,0
6.372168333,6.579168333,13.96043,14.41993,0.08711002,0.08748956,1.644795427,1.698674152,0,59,2,17,0,3,6,23,3,6,0,0,20,0,0,27,10,12,0,0,22,0
6.348891667,6.582141667,14.03646667,14.59921667,0.095371817,0.098288378,1.64826966,1.712338415,0,71,2,19,0,2,6,35,3,6,0,0,12,0,0,10,5,5,0,0,21,0
6.342143333,6.540893333,14.090455,14.621205,0.099795807,0.105286694,1.651661389,1.710078323,0,49,4,22,0,0,10,48,7,8,1,0,14,0,0,18,4,6,0,0,10,0
6.505851667,6.728601667,14.02096167,14.57846167,0.071982105,0.076911979,1.661958179,1.72464191,0,57,2,24,0,1,10,35,13,11,0,0,15,0,0,7,8,6,0,0,11,0
6.479565,6.686565,14.03086667,14.57261667,0.07638421,0.082311001,1.660211249,1.720229608,0,37,2,9,0,0,13,36,6,8,0,0,25,0,0,11,7,6,0,0,14,0
6.411721667,6.612471667,14.01918833,14.51643833,0.085293454,0.08896776,1.652922614,1.709028076,0,56,1,23,0,0,6,33,5,10,0,0,9,0,0,11,9,8,0,0,10,0
6.334938333,6.541688333,14.02606167,14.55756167,0.096690363,0.101265929,1.646173206,1.705402797,0,49,0,7,0,1,9,24,3,7,0,0,15,0,0,8,4,5,1,0,24,0
6.460588333,6.653088333,14.01658333,14.42108333,0.078150762,0.077310882,1.657350166,1.705751893,0,48,2,25,0,0,13,33,4,5,0,0,11,0,0,8,4,10,0,0,25,0
6.475313333,6.655313333,14.102195,14.607445,0.081658801,0.088777903,1.665133484,1.719873496,0,51,3,37,0,2,9,34,9,9,0,0,14,0,0,15,7,7,0,0,12,0
6.36605,6.5828,14.11291667,14.62941667,0.097840631,0.100059811,1.655599251,1.714654992,0,58,1,15,0,1,9,45,3,7,0,0,17,0,0,9,6,6,0,0,16,0
6.372168333,6.579168333,13.96043,14.41993,0.08711002,0.08748956,1.644795427,1.698674152,0,59,2,17,0,3,6,23,3,6,0,0,20,0,0,27,10,12,0,0,22,0
6.348891667,6.582141667,14.03646667,14.59921667,0.095371817,0.098288378,1.64826966,1.712338415,0,71,2,19,0,2,6,35,3,6,0,0,12,0,0,10,5,5,0,0,21,0
6.342143333,6.540893333,14.090455,14.621205,0.099795807,0.105286694,1.651661389,1.710078323,0,49,4,22,0,0,10,48,7,8,1,0,14,0,0,18,4,6,0,0,10,0
6.505851667,6.728601667,14.02096167,14.57846167,0.071982105,0.076911979,1.661958179,1.72464191,0,57,2,24,0,1,10,35,13,11,0,0,15,0,0,7,8,6,0,0,11,0
6.479565,6.686565,14.03086667,14.57261667,0.07638421,0.082311001,1.660211249,1.720229608,0,37,2,9,0,0,13,36,6,8,0,0,25,0,0,11,7,6,0,0,14,0
6.411721667,6.612471667,14.01918833,14.51643833,0.085293454,0.08896776,1.652922614,1.709028076,0,56,1,23,0,0,6,33,5,10,0,0,9,0,0,11,9,8,0,0,10,0
6.334938333,6.541688333,14.02606167,14.55756167,0.096690363,0.101265929,1.646173206,1.705402797,0,49,0,7,0,1,9,24,3,7,0,0,15,0,0,8,4,5,1,0,24,0
6.460588333,6.653088333,14.01658333,14.42108333,0.078150762,0.077310882,1.657350166,1.705751893,0,48,2,25,0,0,13,33,4,5,0,0,11,0,0,8,4,10,0,0,25,0
6.475313333,6.655313333,14.102195,14.607445,0.081658801,0.088777903,1.665133484,1.719873496,0,51,3,37,0,2,9,34,9,9,0,0,14,0,0,15,7,7,0,0,12,0
6.36605,6.5828,14.11291667,14.62941667,0.097840631,0.100059811,1.655599251,1.714654992,0,58,1,15,0,1,9,45,3,7,0,0,17,0,0,9,6,6,0,0,16,0
6.372168333,6.579168333,13.96043,14.41993,0.08711002,0.08748956,1.644795427,1.698674152,0,59,2,17,0,3,6,23,3,6,0,0,20,0,0,27,10,12,0,0,22,0
6.348891667,6.582141667,14.03646667,14.59921667,0.095371817,0.098288378,1.64826966,1.712338415,0,71,2,19,0,2,6,35,3,6,0,0,12,0,0,10,5,5,0,0,21,0
6.342143333,6.540893333,14.090455,14.621205,0.099795807,0.105286694,1.651661389,1.710078323,0,49,4,22,0,0,10,48,7,8,1,0,14,0,0,18,4,6,0,0,10,0
6.505851667,6.728601667,14.02096167,14.57846167,0.071982105,0.076911979,1.661958179,1.72464191,0,57,2,24,0,1,10,35,13,11,0,0,15,0,0,7,8,6,0,0,11,0
